23:39:59.268 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:39:59.654 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:40:03.299 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:48:15.899 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:48:16.249 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:48:19.918 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:51:40.699 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:51:40.996 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:51:44.854 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:55:15.992 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:55:16.063 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
23:55:31.416 [main] ERROR tastCases.TC001Accountregestration - test failed
23:55:31.416 [main] DEBUG tastCases.TC001Accountregestration - debug logs
00:00:47.648 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
00:00:47.808 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
00:00:57.931 [main] ERROR tastCases.TC001Accountregestration - test failed
00:00:57.931 [main] DEBUG tastCases.TC001Accountregestration - debug logs
00:02:06.698 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
00:02:06.773 [main] INFO  tastCases.TC001Accountregestration - **Account regestrtion**
00:02:16.862 [main] ERROR tastCases.TC001Accountregestration - test failed
11:58:11.480 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account registration started
11:58:11.634 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account registration started
11:58:18.878 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account created successfully
11:58:18.898 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account created successfully
11:58:52.826 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account registration started
11:58:58.263 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account created successfully
12:02:12.739 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account registration started
12:02:12.739 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account registration started
12:02:14.306 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account registration started
12:02:21.545 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account created successfully
12:02:25.272 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account created successfully
12:02:25.455 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account created successfully
13:08:35.328 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account registration started
13:08:35.740 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account registration started
13:08:49.592 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account created successfully
13:08:50.174 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account created successfully
13:08:51.297 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account registration started
13:08:58.735 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account created successfully
19:45:57.114 [main] INFO  tastCases.TC001Accountregestration - Account registration started
19:46:01.519 [main] INFO  tastCases.TC001Accountregestration - Account created successfully
19:53:09.403 [main] INFO  tastCases.TC002LoginTest - *****login test started*******
20:07:25.406 [main] INFO  tastCases.TC002LoginTest - *****login test started*******
20:12:05.167 [main] INFO  tastCases.TC002LoginTest - *****login test started*******
20:14:21.441 [main] INFO  tastCases.TC002LoginTest - *****login test started*******
20:14:24.280 [main] INFO  tastCases.TC002LoginTest - *****login test finished*******
20:14:50.159 [main] INFO  tastCases.TC001Accountregestration - Account registration started
20:14:55.381 [main] INFO  tastCases.TC001Accountregestration - Account created successfully
20:14:58.478 [main] INFO  tastCases.TC002LoginTest - *****login test started*******
20:15:01.291 [main] INFO  tastCases.TC002LoginTest - *****login test finished*******
20:15:35.067 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account registration started
20:15:38.282 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account registration started
20:15:49.319 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account registration started
20:15:50.332 [TestNG-tests-2] INFO  tastCases.TC001Accountregestration - Account created successfully
20:15:53.527 [TestNG-tests-1] INFO  tastCases.TC001Accountregestration - Account created successfully
20:15:55.323 [TestNG-tests-3] INFO  tastCases.TC001Accountregestration - Account created successfully
